Site,City,meanCan,Canopy,gmcCanopy,meanImp,Impervious,gmcImpervious,meanGrass,Grass,gmcGrass
E04-APM1,deco,3.876685,1.563667233,-2.313017767,39.086991,52.41595925,13.32896825,14.278019,5.263157895,-9.014861105
E04-SCR1,deco,3.876685,0.489001692,-3.387683308,39.086991,23.34179357,-15.74519743,14.278019,31.81049069,17.53247169
E04-SKE1,deco,3.876685,1.478040541,-2.398644459,39.086991,17.51013514,-21.57685586,14.278019,3.209459459,-11.06855954
E04-SKW1,deco,3.876685,1.686440678,-2.190244322,39.086991,20.81355932,-18.27343168,14.278019,6.779661017,-7.498357983
E04-TER1,deco,3.876685,0.422297297,-3.454387703,39.086991,36.75168919,-2.33530181,14.278019,8.277027027,-6.000991973
W01-BAR1,deco,3.876685,3.798305085,-0.078379915,39.086991,40.6220339,1.5350429,14.278019,20,5.721981
W01-GCP1,deco,3.876685,2.927609428,-0.949075572,39.086991,67.88720539,28.80021439,14.278019,7.744107744,-6.533911256
W01-LIP1,deco,3.876685,0.413043478,-3.463641522,39.086991,68.87792642,29.79093542,14.278019,5.685618729,-8.592400271
W01-MAR1,deco,3.876685,6.148148148,2.271463148,39.086991,46.84175084,7.75475984,14.278019,7.070707071,-7.207311929
W01-SLP1,deco,3.876685,1.274410774,-2.602274226,39.086991,33.58922559,-5.49776541,14.278019,9.427609428,-4.850409572
W02-CHP1,deco,3.876685,1.708967851,-2.167717149,39.086991,8.390862944,-30.69612806,14.278019,50.59221658,36.31419758
W02-HOL1,deco,3.876685,12.09747899,8.22079399,39.086991,32.54453782,-6.54245318,14.278019,28.57142857,14.29340957
W02-MOR1,deco,3.876685,6.182124789,2.305439789,39.086991,29.46543002,-9.62156098,14.278019,27.82462057,13.54660157
W02-SUN1,deco,3.876685,6.483221477,2.606536477,39.086991,37.56879195,-1.51819905,14.278019,21.30872483,7.030705832
W02-WBP1,deco,3.876685,3.087837838,-0.788847162,39.086991,52.96452703,13.87753603,14.278019,8.445945946,-5.832073054
W03-CPP1,deco,3.876685,6.492411467,2.615726467,39.086991,36.84822934,-2.23876166,14.278019,15.68296796,1.40494896
W03-DAN1,deco,3.876685,9.686241611,5.809556611,39.086991,35.87751678,-3.20947422,14.278019,20.46979866,6.191779658
W03-GRA1,deco,3.876685,18.39159664,14.51491164,39.086991,26.14621849,-12.94077251,14.278019,17.64705882,3.369039824
W03-MGP1,deco,3.876685,11.91610738,8.03942238,39.086991,25.02181208,-14.06517892,14.278019,34.73154362,20.45352462
W04-APE1,deco,3.876685,15.7885906,11.9119056,39.086991,4.902684564,-34.18430644,14.278019,5.033557047,-9.244461953
W04-PVP1,deco,3.876685,2.187183811,-1.689501189,39.086991,34.44013491,-4.64685609,14.278019,9.949409781,-4.328609219
W04-STM1,deco,3.876685,3.474832215,-0.401852785,39.086991,7.422818792,-31.66417221,14.278019,5.872483221,-8.405535779
W04-WES1,deco,3.876685,0.906937394,-2.969747606,39.086991,38.21658206,-0.87040894,14.278019,7.952622673,-6.325396327
W04-WSP1,deco,3.876685,18.92929293,15.05260793,39.086991,3.887205387,-35.19978561,14.278019,2.356902357,-11.92111664
M01-PRG1,inin,10.551616,9.544537815,-1.007078185,32.890268,58.58319328,25.69292528,22.94625,1.848739496,-21.0975105
M02-BCF1,inin,10.551616,2.398981324,-8.152634676,32.890268,75.46859083,42.57832283,22.94625,0.339558574,-22.60669143
M02-OBP1,inin,10.551616,3.501689189,-7.049926811,32.890268,55.84121622,22.95094822,22.94625,5.067567568,-17.87868243
M02-SBP2,inin,10.551616,17.82293423,7.27131823,32.890268,41.70320405,8.81293605,22.94625,10.45531197,-12.49093803
M03-FCP1,inin,10.551616,11.83277592,1.28115992,32.890268,46.01003344,13.11976544,22.94625,4.013377926,-18.93287207
M03-GWP1,inin,10.551616,13.21319797,2.66158197,32.890268,31.44162437,-1.44864363,22.94625,35.70219966,12.75594966
M03-ISD1,inin,10.551616,7.462962963,-3.088653037,32.890268,50.19023569,17.29996769,22.94625,8.922558923,-14.02369108
M04-BAS1,inin,10.551616,18.5311973,7.9795813,32.890268,32.58010118,-0.31016682,22.94625,8.937605396,-14.0086446
M04-FRP1,inin,10.551616,23.53962901,12.98801301,32.890268,25.35919056,-7.53107744,22.94625,24.62057336,1.674323356
M04-MAP1,inin,10.551616,34.38709677,23.83548077,32.890268,14.26994907,-18.62031893,22.94625,24.78777589,1.841525891
M05-ISB2,inin,10.551616,30.50254669,19.95093069,32.890268,17.74872666,-15.14154134,22.94625,40.06791171,17.12166171
M05-SGC1,inin,10.551616,18.5959596,8.0443436,32.890268,26.93771044,-5.95255756,22.94625,47.47474747,24.52849747
M06-MCP1,inin,10.551616,28.39932318,17.84770718,32.890268,18.80203046,-14.08823754,22.94625,42.97800338,20.03175338
M06-PGC1,inin,10.551616,11.67905405,1.12743805,32.890268,36.84459459,3.95432659,22.94625,27.19594595,4.249695946
M07-CAC1,inin,10.551616,12.28040541,1.72878941,32.890268,38.35472973,5.46446173,22.94625,29.89864865,6.952398649
M07-CCT1,inin,10.551616,17.95945946,7.40784346,32.890268,10.5,-22.390268,22.94625,38.34459459,15.39834459
M07-WFD1,inin,10.551616,16.1952862,5.6436702,32.890268,43.37373737,10.48346937,22.94625,18.01346801,-4.932781987
M08-FTP1,inin,10.551616,7.782462057,-2.769153943,32.890268,13.25463744,-19.63563056,22.94625,10.62394604,-12.32230396
